Track,Artist,Release Date,ISRC,All Time Rank,Spotify,YouTube,TikTok,Pandora,Soundcloud,Shazam
ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ (Fade),Jeff Satur,9/23/2022,THW092201719,"3,811","41,494,349","267,216,988","102,354,732",,,"76,255"
Get Back,Pop Smoke,2/7/2020,USUM72002036,"3,800","355,137,565","45,164,581","637,177,334","14,235,351",,"1,086,060"
Panic Room,Au/Ra,2/9/2018,GBARL1702250,"3,821","256,361,762","183,409,458","298,147,047","66,736,932","152,596","747,708"
DJ BIWIR BEUREUM-BEUREUM JAWER HAYAM PANO COKLAT KOPI SUSU - RUNTAH,DJ MANIKCI REMIX,8/16/2022,HKK972235335,"3,810","5,101,261",,"1,190,306,094",,,
2002,Anne-Marie,7/20/2018,GBAHS1800484,"3,807",,"1,074,810,575",,,,
Baila Conmigo (feat. Kelly Ruiz),Dayvi,12/28/2018,MXF011900173,"3,797","417,257,612","301,418,451","219,625,896","106,581,925",,"5,980,614"
Problemas de um Milionï¿½ï¿½,WIU,4/10/2024,BXW922400001,"3,806","34,042,262","11,039,801",,,,"71,762"
Noticed,Lil Mosey,7/20/2018,USUM71809565,"3,819","727,014,998","348,078,879","25,640,147","36,207,229",,"1,122,407"
Shoota (feat. Lil Uzi Vert),Playboi Carti,5/11/2018,USUM71804149,"3,809","686,323,132","168,225,696","343,926,725","9,008,346",,"964,881"
Happy Birthday,Jovanie,3/22/2019,QM4TX1990759,"3,793","37,866","1,855,597","567,183,479","15,747",,"60,542"
The Greatest,Sia,1/1/2016,USRC11601332,"3,812","669,427,500","864,787,930","363,488,557","90,606,690",,
Ignite,Alan Walker,5/11/2018,NOG841803010,"3,815","339,954,855","669,877,400","215,231,253","11,727,727",,"2,570,303"
Sharing Locations (feat. Lil Baby & Lil Durk),Meek Mill,8/27/2021,USAT22105014,"3,805","172,558,590","74,993,454","80,999,687","49,183,554",,"851,112"
Gï¿½ï¿½ï¿½p ï¿½ï¿½ï¿½ï¿½i,Tuï¿½ï¿½ï¿½n,9/21/2023,US38Y2304586,"3,794","1,880,312","58,299,522","168,468,483",,,"10,918"
Vette Motors,YoungBoy Never Broke Again,6/10/2022,USAT22207312,"3,814","80,585,683","88,959,234","42,977,111",,"19,542,228",
Only Fine Girl,Spyro,9/29/2023,ZA56E2305137,"3,816","2,490,826","2,189,347","69,943,676","2,961",,"224,804"
EVIL EMPIRE,Lil Mabu,4/5/2024,USUYG1539670,"3,803","6,097,493","25,736,622","3,300,000","169,839",,"56,295"
Overwhelmed,Royal & the Serpent,6/26/2020,USAT22002973,"3,813","189,175,699","14,575,452","2,001,548,087","16,754,992","5,117,469","1,456,206"
Good as Hell,Lizzo,3/9/2016,USAT21600354,"3,799","627,625,151","275,081,528","1,187,485,509","183,082,560",,"5,017,737"
Caroline,Aminï¿½,3/9/2016,USCGH1697037,"3,802","761,038,233","71,245,011","131,813,469","262,393,898",,"3,258,289"
Mon ami,Tiesco le sultan,10/10/2023,TCAHN2316445,"3,808","9,452",,"54,998,866",,,"19,456"
Zombie Dance with New DB Heroes,D Billions,12/8/2023,AEA0Q2376389,"3,796","37,396","98,338,088",,,,
Adictiva,Daddy Yankee,11/9/2018,US2BU1801109,"3,817","428,271,245","587,689,921","67,856,339","81,908,473",,"1,097,094"
Kitsch,IVE,3/27/2023,QM4TX2337765,"3,798","146,489,854","136,400,964","293,588,190","147,151",,"227,734"
Rewrite The Stars,Zac Efron,11/17/2017,USAT21704623,"3,823","989,608,207","300,627,390","205,446,459","128,285,057",,"1,889,560"
Hype Boy,NewJeans,8/1/2022,USA2P2230222,"3,836","541,018,402","35,777,367","1,096,877,338","885,151","1,574,180","474,609"
Enchanted (Taylor's Version),Taylor Swift,7/7/2023,USUG12302081,"3,842","285,889,664",,,"3,436,702","1,143,120","326,834"
GUCCI LOS PAï¿½ï¿½,KAROL G,2/24/2023,USUM72222544,"3,826","121,721,506","136,014,507","78,468,779","22,530,956",,"426,324"
Legends Never Die,League of Legends,9/15/2017,QMAF31500062,"3,841","595,564,275","529,533,138","304,569,731","32,188,584",,"1,393,802"
BLEED,The Kid LAROI,11/3/2023,USSM12300831,"3,824","66,555,473","4,641,915","14,476,475","1,285,617","1,537,733","127,972"
IDGAF,Lucixn,2/13/2023,QZLBC2302548,"3,950","1,577,904,955",,,,,
Michi Teyu Ku (Overflowing),Fujii Kaze,3/14/2024,JPPO02400480,"3,825","33,845,527","30,645,137",,"8,907",,"109,995"
Desde Esa Noche,Thalia,1/29/2016,USSD11600005,"3,845","322,003,779","1,326,260,675","77,792,182",,,"1,636,139"
SOS (feat. Aloe Blacc),Avicii,4/10/2019,SE5R71900201,"3,839","763,658,190","155,980,021","258,338,520","37,623,487",,"4,054,017"
Pulsar Bike,Bheems Ceciroleo,1/7/2023,IND292208377,"3,844","39,057,770","252,467,125",,,,"16,986"
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,9/25/2020,USSM12004756,"3,830","278,032,053","179,207,995","170,949,508","12,891,509",,"1,765,806"
Kya Baat Ay,Harrdy Sandhu,9/24/2018,INS171806873,"3,831","115,373,265","743,095,293","440,380,121","717,399",,"297,728"
Do not touch,MISAMO,7/14/2023,JPWP02370420,"3,828","65,157,999","117,612,168","161,449,720",,,"121,995"
PERSIAN RUGS,PARTYNEXTDOOR,10/16/2020,USWB12004216,"3,840","113,153,819","14,448,833","47,272,619","1,376,205","48,659,667","97,523"
Romeo Juliet - Title Song,Akassh,3/12/2024,INE241800060,"3,833","15,619","48,633,119",,,,"3,539"
Ambition For Cash,Key Glock,10/1/2021,USUYG1390429,"3,835","315,336,758","29,058,447","1,234,944,902","9,860,446",,"1,286,750"
En Peligro de Extinciï¿½,La Adictiva,5/13/2018,MXA411400084,"3,832","310,742,518","811,416,034","32,767,411","114,192,119",,"1,171,550"
Besito,Soy Pau,7/8/2023,QZNWQ2336916,"3,838","6,220,250","114,811,395","155,823,199",,,"16,531"
ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1/5/2024,JPPO02304150,"3,834","46,945,798","50,822,146",,,,"161,457"
Be Kind (with Halsey),Marshmello,1/17/2020,USUG12001567,"3,829","664,972,754","148,754,253","275,420,611","50,964,881","52,172","3,200,345"
I GOT YOU,TWICE,2/2/2024,US5TA2300237,"3,843","56,463,608","40,744,351",,,,"90,979"
Zukunft Pink (feat. Inï¿½ï¿½,Peter Fox,10/20/2022,DEA622201528,"3,822","131,713,257","33,686,131","94,823,161","4,354",,"638,655"
CCC,Michelle Maciel,5/5/2023,UYB282379007,"3,837","205,855,278","78,474,072","253,126,168","1,804,767",,"594,542"
Dime,El Malilla,4/15/2024,USA2P2420093,"3,827","40,072,883","17,561,285",,"8,447",,"50,238"
Do you like yogurt,Pierce,3/3/2023,KRMIM2335213,"3,861","2,508","251,812,286",,,,75
Electric Love,Bï¿½ï¿½,11/10/2014,USUM71416307,"3,874","1,088,889,743","271,796,914","1,412,148,968","134,110,319",,"3,713,524"
MR. OCTOBER,Bad Bunny,10/13/2023,QMFME2364185,"3,854","95,925,842","28,849,994","27,249,793","3,655,705",,"77,503"
I Can Fix Him (No Really I Can),Taylor Swift,4/18/2024,USUG12401038,"3,853","92,296,736","3,354,991",,"1,345,834",,"12,812"
Kï¿½ï¿½,Mabel Matiz,5/10/2024,QM6N22432504,"3,865","13,060,347","10,890,264",,47,,
Jee Ni Lagda,Karan Aujla,8/18/2023,CAW112300242,"3,871","56,798,458","77,968,183","11,740,158","33,582","2,203,810","74,830"
Sudden Shower,Eclipse,4/8/2024,KRA492400564,"3,862","25,974,901","20,524,343",,172,,"122,206"
Nira Ishq,Guri,2/21/2019,FR10S1963992,"3,873","102,266,938","531,503,711","544,172,370",,,"319,625"
lo que hay x aquï¿½,Rels B,3/10/2023,UYB282376006,"3,868","223,617,742","57,156,070","51,766,245","12,520",,"409,658"
Los Cachos,Piso 21,7/8/2022,MXF152200437,"3,858","281,927,185","158,004,846",,"1,173,587",,"685,597"
Jugnu,Badshah,10/26/2021,INUM72100074,"3,847","162,005,746","402,093,763","74,566,411","321,200",,"268,778"
NADIE SABE,Bad Bunny,10/13/2023,QMFME2364181,"3,880","86,588,767","31,617,320","5,482,577","1,499,283",,"173,314"
nE !?,Lvbel C5,4/12/2024,FRX282404287,"3,859","24,176,156","16,676,082",,,,"174,070"
Graduation (with Juice WRLD),benny blanco,8/30/2019,USUM71916692,"3,869","358,055,646","79,428,378","1,038,829,201","30,040,078","28,821,843","761,157"
Fim de Semana no Rio,Teto,3/30/2022,BXW922200001,"3,856","174,165,147","228,106,838","119,676,469",,,"50,042"
Best Time,Brent Faiyaz,10/27/2023,QZNMY2304784,"3,883","149,609,501","3,195,354","15,160,078","264,391",,"185,310"
Hot N*gga,Bobby Shmurda,7/25/2014,USSM11405787,"3,851","491,313,680","1,058,207,974","300,243,753",,,"4,169,134"
No Sufrirï¿½ï¿½ por Nadie - R,Joaquin Guiller,3/3/2023,QZ5AB2358733,"3,872","18,550,706","159,688,005","117,607,339",,,"256,826"
For Tonight,Giveon,9/24/2021,USSM12106837,"3,848","259,405,297","68,379,159","71,844,871","38,644,659","4,737,504","1,255,610"
Barely Holdin' On,Polo G,8/18/2023,USSM12305651,"3,846","49,246,411","17,029,916","27,395,460","14,681,138",,"278,504"
Lihim,Arthur Miguel,7/28/2023,PHW012300230,"3,849","68,411,628","19,337,973","297,146,611",,,"21,919"
Shake It Off (Taylor's Version),Taylor Swift,10/26/2023,USUG12306677,"3,882","118,707,702","9,538,075","76,251,071","6,585,670","26,704","118,791"
DICE AND ROLL,Odetari,3/20/2024,QZZ4J2400154,"3,850","34,391,822","1,039,710",,"214,254","1,994,609","164,696"
Clara Bow,Taylor Swift,4/18/2024,USUG12401043,"3,863","83,518,075","3,279,453","981,800","1,025,521",,"19,572"
Witchy (feat. Childish Gambino),KAYTRANADA,6/7/2024,USRC12300035,"3,852","3,663,303","438,239",,"1,716","6,374","7,961"
Quiï¿½ï¿½reme Mientras Se P,Manuel Turizo,5/1/2020,QZDYA1800021,"3,857","467,670,966","347,013,964","306,310,424","45,877,581",,"918,617"
About Damn Time,Lizzo,7/15/2022,USAT22203704,"3,881","846,772,236",,,"87,318,771",,
0800 HEAVEN,Nathan Dawe,6/9/2023,GBAHS2300402,"3,878","68,189,858","15,853,723","4,189,925","198,047","1,981,079","521,658"
Elegï¿½ï¿½ (feat. Dï¿½ï¿½me,Rauw Alejandro,3/26/2020,USSD12000059,"3,860","439,049,524","378,728,492","1,774,594","50,594,664",,"568,549"
Hallelujah,Pentatonix,10/21/2016,USRC11601833,"3,885","441,916,342","757,432,448","26,604,065","102,648,900","632,853","2,127,258"
You can't control my heart,Kurochuu,6/9/2024,CA5KR2466583,"3,870","24,071,511",,,,,
March Madness,Future,3/21/2015,USSM11507194,"3,886","169,574,765","64,115,813","29,701,332","309,053,851","100,699,130","1,488,185"
Never Gonna Not Dance Again,P!nk,11/3/2022,USRC12203892,"3,884","162,054,666",,,,,
Que Calor (with J Balvin & El Alfa),Major Lazer,10/19/2018,QMUY41800271,"3,875","433,664,050","235,890,905","1,344,891,926","26,759,367","8,083,227","4,070,551"
Make No Sense,YoungBoy Never Broke Again,10/11/2019,USAT21904061,"3,876","404,692,736","122,850,735","338,188,316","44,738,515",,"846,798"
STARGAZING,Travis Scott,8/3/2018,USSM11806658,"3,887","740,409,304","211,251,366","50,313,512","34,539,181",,"1,402,381"
WTFYM,Future,3/22/2024,USSM12402042,"3,864","17,192,758","2,341,216",,"203,787","1,088,152",
All My Life,Falling In Reverse,6/6/2024,USEP42414005,"3,879","4,094,651",,,"932,184","1,831","20,319"
Munch (Feelinï¿½ï¿½,Ice Spice,8/10/2022,CA5KR2269973,"3,855","133,459,011","62,093,393","1,961,457,700","4,719,609",,"689,568"
If You Want Love,NF,10/6/2017,USUM71708224,"3,877","493,699,616","308,466,086","43,620,157","215,181,352","15,915,800","1,344,159"
Humpty Dumpty,Lo Greco Bros,7/22/2022,ITI022200181,"3,866",,"354,682,832",,,,
Revenge,XXXTENTACION,8/25/2017,USUYG1156895,"3,867","1,356,969,354","910,676","401,420,595","27,265,488",,"2,258,367"
Savage Love,Jason Derulo,5/5/2020,ESA012082771,"3,921","3,369","797,581,325",,,,
White Iverson,Post Malone,6/13/2013,USUM71511528,"3,918","1,135,209,969","40,791,444","66,145,174","523,654,002",,"4,346,795"
Hola - Remix,Dalex,11/1/2019,QM9WM1900166,"3,900","708,615,717","258,358,932","62,179,337","32,110,135",,"1,526,884"
The Black Dog,Taylor Swift,4/19/2024,USUG12401046,"3,892","81,662,552","4,458,555",,"1,083,938",,
Say Something (feat. Chris Stapleton),Justin Timberlake,1/25/2018,USRC11703503,"3,891","505,748,520","468,137,682","7,107,254","135,674,431",,"6,318,285"
Hoa Cï¿½ï¿½ï¿½,Phong Max,4/25/2023,VNA1M2204855,"3,912","4,168,391","76,086,431","439,939,868",,,"14,755"
I Know,Kanii,3/10/2023,USWB12300650,"3,914","49,939,720","48,845,907","1,646,887,640","232,181","2,940,190","510,234"
lost souls,Baby Keem,9/22/2021,USSM12107536,"3,889","206,432,478","25,049,879","404,172",,"6,333,559","1,078,453"
Don't You Know,Crosby St. Models,8/12/2022,GBPVV2204622,"3,890",,"357,790,871",,,,35
Hold Me Closer,Elton John,11/10/2017,GBUM72205030,"3,907","400,479,389","63,905,136","552,721,460","84,991,422",,"3,915,242"
Se Joga no Passinho,Brisa Star,6/18/2021,BXI8I2100073,"3,901","110,101,642","381,825,698","1,314,262,368",,,"384,085"
Girls,aespa,7/8/2022,KRA302200097,"3,923","115,406,939","267,348,363","401,260,794","399,110",,"249,490"
Classic,MKTO,1/1/2012,USSM11301446,"3,922","1,350,428,257","343,526,777","3,172,500,312","333,149,072",,"5,519,429"
The Last Goodbye (feat. Bettye LaVette),ODESZA,2/8/2022,GBCFB2100832,"3,905","122,957,173","35,159,391","1,408,619,017","1,757,068","1,860,975","1,713,873"
The Weekend,SZA,6/9/2017,USRC11701116,"3,896","537,523,729","366,197,654","103,430,758","211,565,753","3,776,319","1,833,030"
Overloading (OVERDOSE),Mavins,5/13/2022,NGA3B2201001,"3,920","58,523,865","12,161,436","235,951,162","1,650,148",,"2,217,236"
shipping,great area,12/15/2022,UKKTQ2200011,"3,902","130,895","276,105,789",,,,162
Stole the Show,Kygo,3/23/2015,SEBGA1500071,"3,913","964,765,127","530,786,123","69,198,449","75,982,646",,"12,887,220"
Mood - Remix,Zero Two,6/9/2021,VNA0R1989249,"3,899","10,265,841",,"1,593,175,441",,,
Chasing After You (with Maren Morris),Ryan Hurd,2/12/2021,USRN12000200,"3,906","198,942,707","61,690,062","30,889,183","271,772,464",,"993,457"
Kini Ecko Pergi Meninggalkanku,Ecko Show,10/6/2022,IDA832200929,"3,917","3,479,935","45,732,371","2,877,575,926",,,"20,289"
LOOOVE (feat. Kid Cudi),Travis Scott,7/28/2023,USSM12305018,"3,919","72,380,469","2,630,153","4,244,746","228,994",,"50,640"
Oddara (feat. Mercedes Salinas),Overcast,7/10/2022,SE6SA2261140,"3,888",,"376,956,912",,,,
10 Freaky Girls (with 21 Savage),Metro Boomin,11/2/2018,USUG11802481,"3,894","630,863,087","93,297,998","9,867,664","8,811,139",,"1,411,636"
Bahagiaku Sederhana,Jamik Jams,10/21/2021,SGB502102465,"3,895","271,438","132,812","584,146,089",,,"4,655"
"Paint It, Black",The Rolling Stones,7/26/2023,USA172010502,"3,911","1,196,773,729",,,,,
Beautiful People (Stay High),The Black Keys,1/12/2024,USNO12300381,"3,893","11,742,947","3,396,529",,"1,270,316",,"170,867"
UNA CERVEZA,Fuerza Regida,10/20/2023,QZ9QQ2300794,"3,908","159,876,075","36,524,769","14,846,248","2,435,321",,"595,774"
Down With Me,Lil Tecca,1/4/2024,USUM72400053,"3,915","65,300,464","4,790,924",,"443,701",,
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,10/22/2021,USUG12103119,"3,909","289,013,053","256,030,564","358,391,850","800,597",,"1,479,802"
Pink Friday Girls,Nicki Minaj,12/8/2023,USUM72318696,"3,897","63,109,089","8,224,997",,"19,808,951",,"232,247"
Teresa & Maria,alyona alyona,1/11/2024,UAEO12300107,"3,916","31,380,070","48,986,579",,,,"287,707"
Conversations,Juice WRLD,7/10/2020,USUG12001896,"3,904","407,701,213","151,055,875","22,493,087","27,808,738",,"724,745"
Rake It Up,Yo Gotti,6/23/2017,USSM11705366,"3,924","365,789,171","347,981,506","75,103,695","336,119,724","1,720,331","3,844,287"
De Vuelta Pa' La Vuelta,Daddy Yankee,12/10/2020,US2BU2001211,"3,910","164,788,147","426,336,235","44,074,315","20,338,538",,"1,159,159"
Sunshine,OneRepublic,11/10/2021,USUM72100506,"3,898","426,609,723","21,063,557","85,043,400","85,107,847",,"791,789"
Walk,Kodak Black,9/16/2022,USAT22214755,"3,903","62,323,136","34,075,392","25,342,217","3,561,732","10,571,345","288,137"
9 bis 9,SIRA,5/5/2023,DEKF22300419,"3,935","107,950,388","1,812,251","30,673,708",,,"275,083"
Versace on the Floor,Bruno Mars,11/17/2016,USAT21602949,"3,949","797,648,369","733,721,686","99,524,212","93,218,337",,
Bailando,El Jordan 23,2/10/2022,QZFZ72288773,"3,954","138,986,512","266,765,542","240,950,847",,,"410,223"
Runaway (U & I) [Dance],MELON,2/24/2023,ZZOPM2342242,"3,961","13,502,324","212,073,431","136,579,723","5,297",,"106,448"
Hasta la Miel Amarga (feat. Grupo Firme),"Luis Angel ""El Flaco""",5/1/2020,QZDQH1832675,"3,940","164,007,720","588,981,015","18,781,987","37,364,914",,"491,755"
Love Me Like This,NMIXX,3/21/2023,US5TA2200195,"3,937","96,439,278","153,565,263","208,385,821","315,735",,"178,962"
Buss It,Erica Banks,5/15/2020,USUYG1312999,"3,936","145,000,664","114,367,853","7,546,931,289",,,"1,452,339"
Five Nights at Freddy's,The Newton Brothers,10/27/2023,USQ4E2205224,"3,941","17,822,349","23,346,903","591,105,266","88,794","297,246","143,370"
BODYGUARD,Beyoncï¿½,3/29/2024,USSM12402709,"3,956","56,412,921","5,216,744",,"875,660",,"96,344"
Matte Black,$uicideboy$,7/29/2022,QZAPK2000269,"3,938","162,889,846","82,186,979","49,371,617","6,608,498",,"351,439"
Animals,Martin Garrix,1/1/2013,NLZ541300467,"3,957","413,855,724","62,878,984","170,836,810","164,294,520","74,446,604","17,865,575"
"Akh Lad Jaave (From ""Loveyatri"")",Badshah,8/23/2018,INS181801889,"3,950","97,600,091","966,173,774","49,191",,,"432,493"
Uhaw,Dilaw,11/18/2022,PHW012200294,"3,958","42,862,565","9,151,739","670,266,290",,,"8,995"
FRIKI,Feid,12/10/2021,USUM72123054,"3,939","255,973,824","230,466,044","333,978,136","24,601,618",,"429,833"
GOAT,Number_i,1/1/2024,JPY932300029,"3,951","34,820,660","68,873,278","173,000",,,"213,386"
Bondade de Deus,Isaias Saad,2/21/2022,BCII12200001,"3,960","91,842,323","237,180,411","149,090,596",,,
Let The Light In (feat. Father John Misty),Lana Del Rey,3/10/2023,GBUM72206754,"3,932","240,686,521","21,619","349,168,412","912,274","149,385","632,580"
NINNIN JACK,IMP.,5/29/2024,JPY932300076,"3,927","207,454","8,963,678",,,,"2,055"
Love 119,RIIZE,1/5/2024,KRA302400001,"3,928","40,415,304","56,771,181","3,801,500","19,933",,"80,350"
Jar of Hearts,Christina Perri,7/27/2010,USAT21001508,"3,945","534,874,667","562,197,656","109,689,471","615,706,841",,"6,027,852"
UP,INNA,10/29/2021,ROGRA2101937,"3,944","35,440,292","105,583,094","1,048,666,929","77,119",,"2,431,616"
Gotta Move On (feat. Bryson Tiller),Diddy,9/20/2023,USUG12203038,"3,934","44,931,644","2,181,868",,"6,020,706","45,722",
Chasing Game,Nick Hanzo,7/1/2022,DEH742211994,"3,946",,"377,233,092",,,,18
LOS APARATOS,El Alfa,8/3/2022,QM6P42213591,"3,943","137,720,938","153,725,209","950,882","3,762,219",,"602,689"
ï¿½ï¿½Quï¿½ï¿½ Nos Pasï¿½ï¿½?,Anuel AA,5/26/2022,QM6MZ2220000,"3,926","161,990,851","187,450,025","28,786,547","1,465,671",,"412,492"
I Won't Give Up,Jason Mraz,1/1/2012,USEE11100768,"3,925","850,863,163","21,096,118","77,268,402","983,589,132",,"7,898,160"
I GUESS I'M IN LOVE,Clinton Kane,8/20/2021,USSM12104467,"3,959","416,972,132","27,881,902","1,003,766,991","10,462,787",,"791,890"
Tapï¿½ï¿½o Na ,Raï¿½ï¿½ Saia Ro,1/22/2021,BRS4R2000060,"3,933","196,159,389","452,999,889","349,411,180",,,"360,078"
Angry,The Rolling Stones,9/6/2023,GBUM72302314,"3,953","31,185,560","31,460,860",,"3,754,757",,"439,886"
SWEET / I THOUGHT YOU WANTED TO DANCE,"Tyler, The Creator",6/25/2021,USQX92102138,"3,947","269,671,235","36,399,833","124,695,761","634,409",,"551,470"
Yes I'm A Mess,AJR,9/29/2023,USUG12305391,"3,948","43,940,810","13,505,487","7,067,986","22,282,533",,"202,276"
Try,P!nk,1/1/2012,USRC11200785,"3,955","662,971,898","990,716,604","689,599,858","217,677,468",,"4,968"
Saiyaan Ji,Yo Yo Honey Singh,1/27/2021,INS182100158,"3,942","39,793,463","585,353,915",,,,"197,659"
VVS Switch,Pressure 9X19,10/10/2023,QZSYP2394390,"3,929","44,343,451","68,122,505","57,791,681","42,761","1,254,858","270,429"
Can I Call You Tonight?,Dayglow,1/26/2018,TCADL1825079,"3,930","596,164,214","207,640,042","155,192,084","15,042,745",,"2,303,064"
Sweet Child O' Mine,Guns N' Roses,7/21/1987,USGF18714809,"3,931","1,879,386,440","2,007,460,784","673,282,408","885,046,947",,"10,345,515"
DISPO,KAROL G,8/10/2023,USUG12305267,"3,952","113,567,783","70,427,226",,"10,704,039",,"134,837"
Obsessed,Riar Saab,9/29/2022,QMBZ92299094,"3,972","161,366,691","167,537,164","286,891,984",,,"479,047"
Here We Go (Uh Oh),Coco Jones,5/3/2024,USUM72404366,"3,978","3,459,469","30,547",,"3,989,935","186,653","133,763"
Madrid City,Ana Mena,9/29/2023,ES5022302278,"3,966","64,860,954","30,204,546","462,395,885","7,026",,"885,647"
Bring It on Home to Me,Sam Cooke,3/28/2024,FR6F32334310,"3,990","293,683,495",,,,,
Ropa Cara,Camilo,1/18/2021,USSD12000609,"3,979","185,362,995","315,331,221","1,309,968,091","3,615,841",,"421,946"
Straightenin,Migos,5/14/2021,USUG12100188,"3,968","135,665,686","158,341,543","98,085,095","36,411,677",,"1,039,383"
Percherï¿½,El Reino Infantil,11/17/2016,ARF061501325,"3,988","17,238,604","1,267,939,965","14,803,398",,,"23,734"
Bring Me To Life,Evanescence,1/1/2003,USWU30200093,"3,963","1,129,346,989","1,380,253,721","906,228,976",,,"12,505,209"
Espectacular,Sky Rompiendo,4/18/2024,USSD12400197,"3,971","29,254,420","4,214,564",,"1,037,782",,"124,413"
Me Gusta,Shakira,1/13/2020,USQX92000112,"3,991","353,815,769","392,297,415","108,385,612","14,773,195",,"2,962,296"
Middle,DJ Snake,10/16/2015,USUM71515784,"3,974","1,068,023,888","43,143,589","288,028,736","209,483,734",,"12,615,013"
Ron Artest,Babyface Ray,2/8/2023,USUYG1468508,"3,973","63,725,545","17,655,608","243,757",,"7,292,189","386,729"
El Patito Juan,Biper Y Sus Amigos,10/24/2004,QZ2J21500186,"3,969","29,422,741","2,970,122,390","119,966,916","515,384",,"199,390"
Different 'Round Here,Riley Green,5/11/2023,QZRD92302492,"3,980","74,806,048",,"11,672,926","1,176,095",,"157,134"
Jumpshot,Dawin,7/29/2016,USUM71606698,"3,976","71,345,247","92,840,225","274,234,939","1,814,245",,"926,395"
Mockingbird,Eminem,11/12/2004,USIR10400813,"3,983","1,680,919,413","244,059,770","76,886,329","520,681,974",,"9,764,188"
Drift Night,Alfianie,7/30/2022,SGB502231047,"3,967","218,621",,"1,029,125,885",,,
Asesina,Brytiago,5/1/2018,QM4TX1806458,"3,982","362,670,547","712,253,277","17,887,810","144,936,900",,
Jennifer's Body,Ken Carson,10/13/2023,USUM72314188,"3,986","53,163,000",,"5,105,135","206,234",,"65,875"
In Da Club,50 Cent,8/26/2011,NLD141100088,"3,981","10,163,724","2,248,807,705",,,,
bread & butter,Gunna,6/2/2023,USAT22305917,"3,977","50,098,085","30,556,463","9,089,105","4,935,955",,"280,974"
ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Aimer,12/6/2021,JPU902104729,"3,975","227,696,852","250,190,214",,"662,602",,"403,076"
Smile (with The Weeknd),Juice WRLD,7/10/2020,USUG12002597,"3,984","463,970,393","130,269,657","1,309,847","42,898,693",,"793,274"
XXL,UZI,9/9/2022,FRX762205380,"3,962","70,664,645","246,582,532","69,529,104",,,"84,153"
Yes or No,Jung Kook,11/3/2023,USA2P2348392,"3,970","167,384,917","46,061,623","14,147,233","885,984",,"172,882"
Entrapreneur,Central Cee,12/21/2023,USSM12309238,"3,987","27,850,857","13,933,188",,"983,003",,"84,148"
Show Me How,Men I Trust,2/28/2018,TCADM1873570,"3,965","466,462,034","91,890,599","1,503,260,547","2,932,987","15,339,480","989,841"
Pour It Up,Rihanna,1/1/2012,USUM71214737,"3,964","417,616,725","498,382,704","9,984,519","652,081,066",,"3,449,652"
MONEY AND VIBES,Nemzzz,10/19/2023,US38Y2305407,"3,985","35,900,099","3,551,154","45,531,637",,"1,877,628","93,958"
Macarena (Bayside Boys Remix) (Remasterizado),Los Del Rio,6/17/2022,ES5022201032,"3,989",,,,"15,187,618",,
Love Is Gone - Acoustic,SLANDER,11/13/2019,CA5KR1969481,"3,993","486,647,778","239,866,189","147,581,751","15,700,689",,"3,817,868"
Yakï¿½ï¿½ï¿½ï¿½,Kï¿½ï¿½,11/24/2023,TRAUR2300059,"4,017","63,563,583","58,005,062",,,,"158,526"
Por las Noches (Remix),Peso Pluma,2/27/2023,USQX92301266,"4,023","129,370,457","137,242,871","100,106,095","4,613,918",,"350,394"
TABU.,Yung Yury,3/17/2023,QZES82389788,"4,009","110,533,607","7,522,346","54,432,181",,,"269,055"
Toxic,YG,8/12/2022,USUM72215025,"4,006","36,861,625","45,862,527","146,110,913","28,403,185",,"1,083,165"
"Hua Main (From ""ANIMAL"")",Raghav Chaitanya,10/11/2023,INS182302918,"4,004","97,393,603","89,293,152",,,,"80,167"
Patadas de Ahogado / LATIN MAFIA - Rework,HUGEL,3/1/2024,MXF012400211,"4,012","30,377,279","454,550",,"6,058","35,719","722,006"
Avï¿½ï¿½,Lucky Brown,5/3/2024,CLA1D2400046,"4,020","12,589,295","13,732,957",,"2,829",,"34,082"
Solid (feat. Drake),Young Stoner Life,4/16/2021,QMCE32100237,"3,992","277,393,068","932,111","6,843,990","35,674,166",,"772,897"
Joro,Wizkid,9/30/2019,USRC11901068,"4,005","117,819,788","312,077,132","1,866,473,503","4,356,329","5,341,193","3,178,427"
House Of Lies,Ikka,5/24/2024,INS182401441,"4,013","5,200,791","10,354,894",,,,"3,744"
